Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1910253,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",4,4.12,Vintage International,Paperback,400,1993,1985,2019/09/23,2019/02/20,,,read,,,,1,0
52958127,"The Decagon House Murders (House Murders, #1)",Yukito Ayatsuji,"Ayatsuji, Yukito",Ho-Ling Wong,"=""1782276343""","=""9781782276340""",4,3.79,Pushkin Vertigo,Paperback,284,2020,1987,2021/10/20,2021/10/18,,,read,,,,1,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",0,3.96,New Directions,Paperback,176,1958,1948,,2021/11/15,to-read,to-read (#45),to-read,,,,0,0
53223710,Heaven,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456211""","=""9781609456214""",0,3.79,Europa Editions,Hardcover,192,2021,2009,,2021/11/15,to-read,to-read (#44),to-read,,,,0,0
2783748,The Grin of the Dark,Ramsey Campbell,"Campbell, Ramsey",,"=""076531939X""","=""9780765319395""",0,3.41,Tor Books,Hardcover,381,2008,2007,,2021/11/14,to-read,to-read (#43),to-read,,,,0,0
35952941,The Frolic of the Beasts,Yukio Mishima,"Mishima, Yukio",Andrew Clare,"=""0525434151""","=""9780525434153""",2,3.53,Vintage,Paperback,166,2018,1961,2021/11/14,2021/11/13,,,read,,,,1,0
13543121,Between Two Fires,Christopher Buehlman,"Buehlman, Christopher",,"=""1937007863""","=""9781937007867""",0,4.24,Ace,Hardcover,432,2012,2012,,2021/11/05,to-read,to-read (#42),to-read,,,,0,0
37660359,The Golden Hairpin,Ce Ce Qing Han,"Han, Ce Ce Qing","侧侧轻寒, Alex Woodend","=""1503954870""","=""9781503954878""",0,4.08,Amazon Crossing,Kindle Edition,302,2018,2014,,2021/11/05,to-read,to-read (#41),to-read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,336,2019,2019,,2021/11/05,to-read,to-read (#40),to-read,,,,0,0
44074800,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"Hendrix, Grady",,"=""""","=""""",0,3.79,Quirk Books,Kindle Edition,410,2020,2020,,2021/11/02,to-read,to-read (#39),to-read,,,,0,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,4.13,William Morrow Paperbacks,Paperback,176,2006,2002,,2021/11/02,to-read,to-read (#38),to-read,,,,0,0
54911607,The Guest List,Lucy Foley,"Foley, Lucy",,"=""0062868934""","=""9780062868930""",0,3.80,William Morrow,Hardcover,313,2020,2020,,2021/11/02,to-read,to-read (#37),to-read,,,,0,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",3,3.89,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,2021/10/29,2021/10/28,,,read,,,,1,0
36505403,Boy's Life,Robert McCammon,"McCammon, Robert",,"=""""","=""""",0,4.40,Open Road Media,Kindle Edition,627,2011,1991,,2021/10/29,to-read,to-read (#36),to-read,,,,0,0
30347685,Devils in Daylight,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō","谷崎 潤一郎, J. Keith Vincent","=""0811224910""","=""9780811224918""",0,3.65,New Directions,Hardcover,95,2017,1918,,2021/10/24,to-read,to-read (#34),to-read,,,,0,0
35261744,The Ginza Ghost,Keikichi Ōsaka,"Ōsaka, Keikichi",Ho-Ling Wong,"=""154305742X""","=""9781543057423""",0,3.68,Locked Room International,Paperback,204,2017,2001,,2021/10/24,to-read,to-read (#33),to-read,,,,0,0
39618887,The Plotters,Kim Un-Su,"Un-Su, Kim",Sora Kim-Russell,"=""1925603768""","=""9781925603767""",0,3.57,Text Publishing,Paperback,310,2018,2010,,2021/10/24,to-read,to-read (#32),to-read,,,,0,0
301053,The Elementals,Michael McDowell,"McDowell, Michael",,"=""0380783606""","=""9780380783601""",0,3.99,Avon,Paperback,292,1981,1981,,2021/10/24,to-read,to-read (#31),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.70,Penguin Books ,Paperback,182,1999,1954,,2019/02/20,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",2,3.80,Back Bay Books,Paperback,277,2001,1951,,2019/02/20,,,read,,,,1,0
